battAlias;country;continent;climate;iso_a3;model_series;var;val;descr;cnt_vhcl
Batt_11;Sweden;Europe;coldland;SWE;295;variable_1;2517;Beschreibung_1;2517
Batt_11;Germany;Europe;normal;DEU;247;variable_1;26396;Beschreibung_1;26396
Batt_11;Romania;Europe;normal;ROU;247;variable_1;228;Beschreibung_1;228
Batt_11;China;Asia;normal;CHN;295;variable_1;15961;Beschreibung_1;15961
Batt_11;Belgium;Europe;normal;BEL;214;variable_1;387;Beschreibung_1;387
Batt_11;Argentina;South America;normal;ARG;253;variable_1;38;Beschreibung_1;38
Batt_11;Finland;Europe;coldland;FIN;205;variable_1;701;Beschreibung_1;701
Batt_11;Unknown;;;;293;variable_1;72;Beschreibung_1;72
Batt_11;Canada;North America;coldland;CAN;296;variable_1;1084;Beschreibung_1;1084
Batt_11;Finland;Europe;coldland;FIN;293;variable_1;465;Beschreibung_1;465
Batt_11;Korea (South);Asia;normal;KOR;297;variable_1;3073;Beschreibung_1;3073
Batt_11;Cyprus (South);Asia;normal;CYP;295;variable_1;24;Beschreibung_1;24
Batt_11;Netherlands;Europe;normal;NLD;451;variable_1;125;Beschreibung_1;125
Batt_11;Portugal;Europe;normal;PRT;243;variable_1;3187;Beschreibung_1;3187
Batt_11;Jordan;Asia;normal;JOR;243;variable_1;73;Beschreibung_1;73
Batt_11;Germany;Europe;normal;DEU;254;variable_1;16651;Beschreibung_1;16651
Batt_11;Greece;Europe;normal;GRC;254;variable_1;476;Beschreibung_1;476
Batt_11;Malta;;;;247;variable_1;45;Beschreibung_1;45
Batt_11;Morocco;Africa;hotland;MAR;167;variable_1;239;Beschreibung_1;239
Batt_11;Austria;Europe;normal;AUT;253;variable_1;1823;Beschreibung_1;1823
Batt_11;Hong Kong;;;;295;variable_1;1322;Beschreibung_1;1322
Batt_11;Germany;Europe;normal;DEU;214;variable_1;6724;Beschreibung_1;6724
Batt_11;TǬrkiye;Asia;normal;TUR;453;variable_1;75;Beschreibung_1;75
Batt_11;Belgium;Europe;normal;BEL;205;variable_1;3157;Beschreibung_1;3157
Batt_11;Lithuania;Europe;normal;LTU;297;variable_1;48;Beschreibung_1;48
Batt_11;Poland;Europe;normal;POL;243;variable_1;1642;Beschreibung_1;1642
Batt_11;Belgium;Europe;normal;BEL;254;variable_1;4373;Beschreibung_1;4373
Batt_11;Norway;Europe;coldland;NOR;293;variable_1;12148;Beschreibung_1;12148
Batt_11;Serbia;Europe;normal;SRB;294;variable_1;22;Beschreibung_1;22
Batt_11;Korea (South);Asia;normal;KOR;294;variable_1;1969;Beschreibung_1;1969
Batt_11;Japan;Asia;normal;JPN;253;variable_1;490;Beschreibung_1;490
Batt_11;Slovakia (Slovak Republic);Europe;normal;SVK;253;variable_1;212;Beschreibung_1;212
Batt_11;Spain;Europe;normal;ESP;451;variable_1;638;Beschreibung_1;638
Batt_11;Germany;Europe;normal;DEU;205;variable_1;17943;Beschreibung_1;17943
Batt_11;Hong Kong;;;;297;variable_1;210;Beschreibung_1;210
Batt_11;Singapore;;;;223;variable_1;68;Beschreibung_1;68
Batt_11;South Africa;Africa;hotland;ZAF;296;variable_1;59;Beschreibung_1;59
Batt_11;Croatia;Europe;normal;HRV;213;variable_1;15;Beschreibung_1;15
Batt_11;Greece;Europe;normal;GRC;243;variable_1;845;Beschreibung_1;845
Batt_11;Norway;Europe;coldland;NOR;296;variable_1;477;Beschreibung_1;477
Batt_11;South Africa;Africa;hotland;ZAF;295;variable_1;72;Beschreibung_1;72
Batt_11;Switzerland;Europe;normal;CHE;247;variable_1;1144;Beschreibung_1;1144
Batt_11;Israel;Asia;normal;ISR;247;variable_1;409;Beschreibung_1;409
Batt_11;Finland;Europe;coldland;FIN;177;variable_1;1334;Beschreibung_1;1334
Batt_11;Italy;Europe;normal;ITA;451;variable_1;531;Beschreibung_1;531
Batt_11;Unknown;;;;297;variable_1;134;Beschreibung_1;134
Batt_11;Vietnam;Asia;hotland;VNM;297;variable_1;63;Beschreibung_1;63
Batt_11;Israel;Asia;normal;ISR;167;variable_1;282;Beschreibung_1;282
Batt_11;Switzerland;Europe;normal;CHE;177;variable_1;830;Beschreibung_1;830
Batt_11;Unknown;;;;177;variable_1;28;Beschreibung_1;28
Batt_11;Israel;Asia;normal;ISR;177;variable_1;199;Beschreibung_1;199
Batt_11;USA;North America;normal;USA;167;variable_1;4862;Beschreibung_1;4862
Batt_11;Uruguay;South America;normal;URY;243;variable_1;94;Beschreibung_1;94
Batt_11;Canada;North America;coldland;CAN;297;variable_1;728;Beschreibung_1;728
Batt_11;Brazil;South America;hotland;BRA;294;variable_1;36;Beschreibung_1;36
Batt_11;Israel;Asia;normal;ISR;223;variable_1;89;Beschreibung_1;89
Batt_11;Norway;Europe;coldland;NOR;451;variable_1;125;Beschreibung_1;125
Batt_11;Croatia;Europe;normal;HRV;214;variable_1;16;Beschreibung_1;16
Batt_11;Azerbaijan;Asia;normal;AZE;214;variable_1;30;Beschreibung_1;30
Batt_11;Puerto Rico;North America;normal;PRI;205;variable_1;245;Beschreibung_1;245
Batt_11;Poland;Europe;normal;POL;223;variable_1;113;Beschreibung_1;113
Batt_11;Japan;Asia;normal;JPN;254;variable_1;1297;Beschreibung_1;1297
Batt_11;United Kingdom of Great Britain and Northern Ireland;Europe;normal;GBR;167;variable_1;3814;Beschreibung_1;3814
Batt_11;Netherlands;Europe;normal;NLD;294;variable_1;709;Beschreibung_1;709
Batt_11;Bulgaria;Europe;normal;BGR;253;variable_1;67;Beschreibung_1;67
Batt_11;South Africa;Africa;hotland;ZAF;297;variable_1;64;Beschreibung_1;64
Batt_11;Norway;Europe;coldland;NOR;222;variable_1;18;Beschreibung_1;18
Batt_11;Japan;Asia;normal;JPN;206;variable_1;161;Beschreibung_1;161
Batt_11;Croatia;Europe;normal;HRV;453;variable_1;135;Beschreibung_1;135
Batt_11;Slovakia (Slovak Republic);Europe;normal;SVK;247;variable_1;107;Beschreibung_1;107
Batt_11;Puerto Rico;North America;normal;PRI;166;variable_1;127;Beschreibung_1;127
Batt_11;Trinidad and Tobago;North America;hotland;TTO;294;variable_1;11;Beschreibung_1;11
Batt_11;Belgium;Europe;normal;BEL;451;variable_1;278;Beschreibung_1;278
Batt_11;France;Europe;normal;FRA;453;variable_1;11670;Beschreibung_1;11670
Batt_11;Argentina;South America;normal;ARG;243;variable_1;41;Beschreibung_1;41
Batt_11;Croatia;Europe;normal;HRV;295;variable_1;11;Beschreibung_1;11
Batt_11;Romania;Europe;normal;ROU;254;variable_1;485;Beschreibung_1;485
Batt_11;Austria;Europe;normal;AUT;118;variable_1;305;Beschreibung_1;305
Batt_11;Poland;Europe;normal;POL;177;variable_1;737;Beschreibung_1;737
Batt_11;Austria;Europe;normal;AUT;297;variable_1;209;Beschreibung_1;209
Batt_11;Australia;Oceania;hotland;AUS;253;variable_1;1004;Beschreibung_1;1004
Batt_11;Netherlands;Europe;normal;NLD;205;variable_1;6267;Beschreibung_1;6267
Batt_11;Morocco;Africa;hotland;MAR;243;variable_1;33;Beschreibung_1;33
Batt_11;Puerto Rico;North America;normal;PRI;243;variable_1;3851;Beschreibung_1;3851
Batt_11;Finland;Europe;coldland;FIN;223;variable_1;96;Beschreibung_1;96
Batt_11;Bulgaria;Europe;normal;BGR;223;variable_1;19;Beschreibung_1;19
Batt_11;Dubai (UAE);Asia;hotland;ARE;293;variable_1;113;Beschreibung_1;113
Batt_11;Switzerland;Europe;normal;CHE;206;variable_1;295;Beschreibung_1;295
Batt_11;United Kingdom of Great Britain and Northern Ireland;Europe;normal;GBR;294;variable_1;1135;Beschreibung_1;1135
Batt_11;Hungary;Europe;normal;HUN;222;variable_1;28;Beschreibung_1;28
Batt_11;Japan;Asia;normal;JPN;295;variable_1;1359;Beschreibung_1;1359
Batt_11;Indonesia;Asia;hotland;IDN;297;variable_1;93;Beschreibung_1;93
Batt_11;Russia;Europe;coldland;RUS;213;variable_1;64;Beschreibung_1;64
Batt_11;China;Asia;normal;CHN;205;variable_1;139;Beschreibung_1;139
Batt_11;Australia;Oceania;hotland;AUS;243;variable_1;4498;Beschreibung_1;4498
Batt_11;Portugal;Europe;normal;PRT;223;variable_1;121;Beschreibung_1;121
Batt_11;Hungary;Europe;normal;HUN;293;variable_1;302;Beschreibung_1;302
Batt_11;Bulgaria;Europe;normal;BGR;177;variable_1;42;Beschreibung_1;42
Batt_11;Panama;North America;hotland;PAN;243;variable_1;56;Beschreibung_1;56
Batt_11;Norway;Europe;coldland;NOR;254;variable_1;182;Beschreibung_1;182
Batt_11;Morocco;Africa;hotland;MAR;214;variable_1;26;Beschreibung_1;26
Batt_11;Egypt;Africa;hotland;EGY;296;variable_1;34;Beschreibung_1;34
Batt_11;Uruguay;South America;normal;URY;254;variable_1;12;Beschreibung_1;12
Batt_11;Croatia;Europe;normal;HRV;297;variable_1;15;Beschreibung_1;15
Batt_11;Switzerland;Europe;normal;CHE;295;variable_1;644;Beschreibung_1;644
Batt_11;Hungary;Europe;normal;HUN;223;variable_1;147;Beschreibung_1;147
Batt_11;Belgium;Europe;normal;BEL;294;variable_1;2052;Beschreibung_1;2052
Batt_11;TǬrkiye;Asia;normal;TUR;243;variable_1;4631;Beschreibung_1;4631
Batt_11;France;Europe;normal;FRA;118;variable_1;4826;Beschreibung_1;4826
Batt_11;Finland;Europe;coldland;FIN;167;variable_1;1256;Beschreibung_1;1256
Batt_11;Mexico;North America;hotland;MEX;253;variable_1;1405;Beschreibung_1;1405
Batt_11;Denmark;Europe;coldland;DNK;177;variable_1;835;Beschreibung_1;835
Batt_11;Spain;Europe;normal;ESP;213;variable_1;520;Beschreibung_1;520
Batt_11;Norway;Europe;coldland;NOR;166;variable_1;568;Beschreibung_1;568
Batt_11;Spain;Europe;normal;ESP;166;variable_1;148;Beschreibung_1;148
Batt_11;Ukraine;Europe;normal;UKR;297;variable_1;174;Beschreibung_1;174
Batt_11;United Kingdom of Great Britain and Northern Ireland;Europe;normal;GBR;223;variable_1;735;Beschreibung_1;735
Batt_11;USA;North America;normal;USA;205;variable_1;1687;Beschreibung_1;1687
Batt_11;Netherlands;Europe;normal;NLD;243;variable_1;5860;Beschreibung_1;5860
Batt_11;Costa Rica;North America;normal;CRI;243;variable_1;381;Beschreibung_1;381
Batt_11;Czech Republic;Europe;normal;CZE;254;variable_1;246;Beschreibung_1;246
Batt_11;Switzerland;Europe;normal;CHE;293;variable_1;1717;Beschreibung_1;1717
Batt_11;Romania;Europe;normal;ROU;213;variable_1;199;Beschreibung_1;199
Batt_11;Malaysia;Asia;hotland;MYS;243;variable_1;753;Beschreibung_1;753
Batt_11;Ireland;Europe;normal;IRL;295;variable_1;422;Beschreibung_1;422
Batt_11;India;Asia;hotland;IND;293;variable_1;109;Beschreibung_1;109
Batt_11;Norway;Europe;coldland;NOR;213;variable_1;1670;Beschreibung_1;1670
Batt_11;Puerto Rico;North America;normal;PRI;295;variable_1;2505;Beschreibung_1;2505
Batt_11;Germany;Europe;normal;DEU;253;variable_1;38641;Beschreibung_1;38641
Batt_11;China;Asia;normal;CHN;293;variable_1;13482;Beschreibung_1;13482
Batt_11;Thailand;Asia;hotland;THA;167;variable_1;698;Beschreibung_1;698
Batt_11;Spain;Europe;normal;ESP;167;variable_1;4101;Beschreibung_1;4101
Batt_11;Croatia;Europe;normal;HRV;167;variable_1;320;Beschreibung_1;320
Batt_11;Ecuador;South America;normal;ECU;243;variable_1;89;Beschreibung_1;89
Batt_11;Germany;Europe;normal;DEU;296;variable_1;2996;Beschreibung_1;2996
Batt_11;Puerto Rico;North America;normal;PRI;296;variable_1;2570;Beschreibung_1;2570
Batt_11;Korea (South);Asia;normal;KOR;295;variable_1;4477;Beschreibung_1;4477
Batt_11;Germany;Europe;normal;DEU;294;variable_1;6838;Beschreibung_1;6838
Batt_11;Poland;Europe;normal;POL;206;variable_1;303;Beschreibung_1;303
